DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
2014-05-01T00:00:00.000,2008-01-01T00:00:00.000,Scheduled,Departure,International,4302
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Charter,Arrival,Domestic,16
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Charter,Arrival,International,5
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Charter,Departure,Domestic,19
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Charter,Departure,International,5
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Commuter,Arrival,Domestic,4949
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Commuter,Arrival,International,116
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Commuter,Departure,Domestic,4949
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Commuter,Departure,International,116
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Scheduled,Arrival,Domestic,13762
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Scheduled,Arrival,International,3877
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Scheduled,Departure,Domestic,13820
2014-05-01T00:00:00.000,2008-02-01T00:00:00.000,Scheduled,Departure,International,3888
