ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2016-06-01T00:00:00,Entry,Upper Level,1545958,2016-06-01|Entry|Upper Level
2016-06-01T00:00:00,Exit,Lower Level,2151385,2016-06-01|Exit|Lower Level
2016-06-01T00:00:00,Exit,Upper Level,975678,2016-06-01|Exit|Upper Level
2016-07-01T00:00:00,Entry,Lower Level,1476189,2016-07-01|Entry|Lower Level
2016-07-01T00:00:00,Entry,Upper Level,1598551,2016-07-01|Entry|Upper Level
2016-07-01T00:00:00,Exit,Lower Level,2214307,2016-07-01|Exit|Lower Level
2016-07-01T00:00:00,Exit,Upper Level,1020291,2016-07-01|Exit|Upper Level
2016-09-01T00:00:00,Entry,Lower Level,1292019,2016-09-01|Entry|Lower Level
2016-09-01T00:00:00,Entry,Upper Level,1502366,2016-09-01|Entry|Upper Level
2016-09-01T00:00:00,Exit,Lower Level,1967684,2016-09-01|Exit|Lower Level
2016-09-01T00:00:00,Exit,Upper Level,973936,2016-09-01|Exit|Upper Level
2016-10-01T00:00:00,Entry,Lower Level,1324969,2016-10-01|Entry|Lower Level
2016-10-01T00:00:00,Entry,Upper Level,1545810,2016-10-01|Entry|Upper Level
2016-10-01T00:00:00,Exit,Lower Level,2011928,2016-10-01|Exit|Lower Level
2016-10-01T00:00:00,Exit,Upper Level,1010266,2016-10-01|Exit|Upper Level
2016-11-01T00:00:00,Entry,Lower Level,1334204,2016-11-01|Entry|Lower Level
2016-11-01T00:00:00,Entry,Upper Level,1497158,2016-11-01|Entry|Upper Level
2016-11-01T00:00:00,Exit,Lower Level,1961061,2016-11-01|Exit|Lower Level
2016-11-01T00:00:00,Exit,Upper Level,982536,2016-11-01|Exit|Upper Level
2016-12-01T00:00:00,Entry,Lower Level,1389992,2016-12-01|Entry|Lower Level
2016-12-01T00:00:00,Entry,Upper Level,1557155,2016-12-01|Entry|Upper Level
2016-12-01T00:00:00,Exit,Lower Level,2004404,2016-12-01|Exit|Lower Level
2016-12-01T00:00:00,Exit,Upper Level,1017908,2016-12-01|Exit|Upper Level
2017-01-01T00:00:00,Entry,Lower Level,1284562,2017-01-01|Entry|Lower Level
2017-01-01T00:00:00,Entry,Upper Level,1496562,2017-01-01|Entry|Upper Level
2017-01-01T00:00:00,Exit,Lower Level,1956421,2017-01-01|Exit|Lower Level
2017-01-01T00:00:00,Exit,Upper Level,974005,2017-01-01|Exit|Upper Level
2017-02-01T00:00:00,Entry,Lower Level,1029669,2017-02-01|Entry|Lower Level
2017-02-01T00:00:00,Entry,Upper Level,1267862,2017-02-01|Entry|Upper Level
2017-02-01T00:00:00,Exit,Lower Level,1639395,2017-02-01|Exit|Lower Level
2017-02-01T00:00:00,Exit,Upper Level,872439,2017-02-01|Exit|Upper Level
2017-03-01T00:00:00,Entry,Lower Level,1289086,2017-03-01|Entry|Lower Level
2017-03-01T00:00:00,Entry,Upper Level,1569269,2017-03-01|Entry|Upper Level
2017-03-01T00:00:00,Exit,Lower Level,1975269,2017-03-01|Exit|Lower Level
2017-03-01T00:00:00,Exit,Upper Level,1031861,2017-03-01|Exit|Upper Level
2017-04-01T00:00:00,Entry,Lower Level,1321753,2017-04-01|Entry|Lower Level
2017-04-01T00:00:00,Entry,Upper Level,1537944,2017-04-01|Entry|Upper Level
2017-04-01T00:00:00,Exit,Lower Level,1990114,2017-04-01|Exit|Lower Level
2017-04-01T00:00:00,Exit,Upper Level,1015025,2017-04-01|Exit|Upper Level
2017-05-01T00:00:00,Entry,Lower Level,1425358,2017-05-01|Entry|Lower Level
2017-05-01T00:00:00,Entry,Upper Level,1628617,2017-05-01|Entry|Upper Level
